MFCCs 30% Test 70% Train 
0.867 (+/-0.066) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
0.894 (+/-0.021) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.869 (+/-0.027) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}
0.845 (+/-0.048) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001, 'solver': 'sgd'}
0.327 (+/-0.390) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'lbfgs'}
0.335 (+/-0.464) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.857 (+/-0.057) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.271 (+/-0.176) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1, 'solver': 'sgd'}
0.865 (+/-0.042) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
0.894 (+/-0.022) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.886 (+/-0.013) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}
0.857 (+/-0.069) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001, 'solver': 'sgd'}
0.833 (+/-0.036) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001, 'solver': 'lbfgs'}
0.520 (+/-0.358) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.846 (+/-0.043) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.325 (+/-0.198) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'sgd'}
0.892 (+/-0.020) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
0.886 (+/-0.048) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.820 (+/-0.057) para {'activation': 'identity', 'batch_size': 150, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}
