MFCCs 30% Test 70% Train 
0.904 (+/-0.033) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 3, 'weights': 'distance'}
0.864 (+/-0.025) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 5, 'weights': 'uniform'}
0.900 (+/-0.035) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 5, 'weights': 'distance'}
0.863 (+/-0.028) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 6, 'weights': 'uniform'}
0.895 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 6, 'weights': 'distance'}
0.862 (+/-0.025) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 8, 'weights': 'uniform'}
0.896 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 8, 'weights': 'distance'}
0.861 (+/-0.028) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 10, 'weights': 'uniform'}
0.890 (+/-0.038) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 10, 'weights': 'distance'}
0.887 (+/-0.040) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
0.893 (+/-0.047) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
0.890 (+/-0.031) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
0.895 (+/-0.030) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
0.890 (+/-0.027) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 3, 'weights': 'uniform'}
0.900 (+/-0.025) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}
0.887 (+/-0.015) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 5, 'weights': 'uniform'}
0.893 (+/-0.019) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 5, 'weights': 'distance'}
0.884 (+/-0.022) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 6, 'weights': 'uniform'}
0.894 (+/-0.023) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 6, 'weights': 'distance'}
0.885 (+/-0.025) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 8, 'weights': 'uniform'}
0.898 (+/-0.032) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 8, 'weights': 'distance'}
0.882 (+/-0.025) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 10, 'weights': 'uniform'}
0.892 (+/-0.043) para {'algorithm': 'kd_tree', 'n_neighbors': 3, 'p': 10, 'weights': 'distance'}
0.885 (+/-0.029) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}
0.892 (+/-0.033) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}
0.891 (+/-0.024) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}
0.898 (+/-0.031) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}
0.884 (+/-0.032) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 3, 'weights': 'uniform'}
0.900 (+/-0.019) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 3, 'weights': 'distance'}
0.874 (+/-0.027) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 5, 'weights': 'uniform'}
0.894 (+/-0.014) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 5, 'weights': 'distance'}
0.872 (+/-0.043) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 6, 'weights': 'uniform'}
0.886 (+/-0.026) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 6, 'weights': 'distance'}
0.870 (+/-0.051) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 8, 'weights': 'uniform'}
0.892 (+/-0.022) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 8, 'weights': 'distance'}
0.866 (+/-0.058) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 10, 'weights': 'uniform'}
0.889 (+/-0.030) para {'algorithm': 'kd_tree', 'n_neighbors': 4, 'p': 10, 'weights': 'distance'}
0.886 (+/-0.046) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.898 (+/-0.039) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.886 (+/-0.027) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}
0.903 (+/-0.017) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}
0.889 (+/-0.021) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 3, 'weights': 'uniform'}
0.898 (+/-0.020) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 3, 'weights': 'distance'}
0.874 (+/-0.031) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 5, 'weights': 'uniform'}
0.885 (+/-0.026) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 5, 'weights': 'distance'}
0.874 (+/-0.031) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 6, 'weights': 'uniform'}
0.886 (+/-0.027) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 6, 'weights': 'distance'}
0.874 (+/-0.030) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 8, 'weights': 'uniform'}
0.889 (+/-0.030) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 8, 'weights': 'distance'}
0.874 (+/-0.029) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 10, 'weights': 'uniform'}
0.889 (+/-0.036) para {'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 10, 'weights': 'distance'}
0.894 (+/-0.035) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}
0.900 (+/-0.038) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}
0.890 (+/-0.036) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}
0.898 (+/-0.030) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}
0.897 (+/-0.022) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 3, 'weights': 'uniform'}
0.904 (+/-0.021) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 3, 'weights': 'distance'}
0.896 (+/-0.031) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 5, 'weights': 'uniform'}
0.898 (+/-0.040) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 5, 'weights': 'distance'}
0.893 (+/-0.037) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 6, 'weights': 'uniform'}
0.896 (+/-0.043) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 6, 'weights': 'distance'}
0.884 (+/-0.030) para {'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 8, 'weights': 'uniform'}
