MFCCs 30% Test 70% Train 
0.915 (+/-0.023) para {'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
0.920 (+/-0.018) para {'C': 1, 'gamma': 1, 'kernel': 'rbf'}
0.310 (+/-0.022) para {'C': 1, 'gamma': 10, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 1, 'gamma': 100, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 1, 'gamma': 1000, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 1, 'gamma': 10000, 'kernel': 'rbf'}
0.755 (+/-0.036) para {'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}
0.887 (+/-0.021) para {'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
0.918 (+/-0.028) para {'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
0.924 (+/-0.023) para {'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
0.916 (+/-0.023) para {'C': 10, 'gamma': 1, 'kernel': 'rbf'}
0.329 (+/-0.026) para {'C': 10, 'gamma': 10, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 10, 'gamma': 100, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 10, 'gamma': 1000, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 10, 'gamma': 10000, 'kernel': 'rbf'}
0.884 (+/-0.018) para {'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}
0.915 (+/-0.028) para {'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
0.918 (+/-0.030) para {'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
0.911 (+/-0.027) para {'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
0.916 (+/-0.023) para {'C': 100, 'gamma': 1, 'kernel': 'rbf'}
0.329 (+/-0.026) para {'C': 100, 'gamma': 10, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 100, 'gamma': 100, 'kernel': 'rbf'}
0.214 (+/-0.010) para {'C': 100, 'gamma': 1000, 'kernel': 'rbf'}
